"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"24,539",187.040,160.239,0.064520
2,NEW ENGLAND JOURNAL OF MEDICINE,"315,143",72.406,64.201,0.699890
3,NATURE REVIEWS DRUG DISCOVERY,"28,750",57.000,49.643,0.060770
4,CHEMICAL REVIEWS,"159,155",47.928,50.950,0.246550
5,LANCET,"214,732",47.831,48.082,0.404230
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"40,565",46.602,43.310,0.095730
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"141,015",44.405,38.209,0.280350
8,NATURE BIOTECHNOLOGY,"53,992",41.667,46.223,0.169730
9,NATURE REVIEWS GENETICS,"32,654",40.282,42.442,0.102400
10,NATURE,"671,254",40.137,43.769,1.432570
11,NATURE REVIEWS IMMUNOLOGY,"34,948",39.932,43.498,0.092920
12,NATURE MATERIALS,"81,831",39.737,47.494,0.203970
13,Nature Nanotechnology,"48,814",38.986,44.323,0.172410
14,CHEMICAL SOCIETY REVIEWS,"113,731",38.618,39.278,0.284110
15,Nature Photonics,"35,595",37.852,38.910,0.125980
16,SCIENCE,"606,635",37.205,38.062,1.158230
17,NATURE REVIEWS CANCER,"46,017",37.147,47.887,0.084880
18,REVIEWS OF MODERN PHYSICS,"45,510",36.917,45.547,0.069640
19,LANCET ONCOLOGY,"38,110",33.900,31.194,0.121840
20,PROGRESS IN MATERIALS SCIENCE,"10,521",31.140,35.942,0.016710
21,Annual Review of Astronomy and Astrophysics,"9,417",30.733,35.725,0.020660
22,CELL,"217,952",30.410,34.103,0.593980
23,NATURE MEDICINE,"70,491",29.886,32.261,0.178470
24,Energy & Environmental Science,"59,187",29.518,24.781,0.186110
25,Living Reviews in Relativity,"2,186",29.300,24.974,0.006820
26,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"6,361",29.280,24.745,0.005490
