"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
893,"Nature neuroscience",2014,"Basal ganglia subcircuits distinctively encode the parsing and concatenation of action sequences.","Xin","Jin","Rui M","Costa","1] Laboratory for Integrative Neuroscience, National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health, Bethesda, Maryland, USA. [2] Molecular Neurobiology Laboratory, The Salk Institute for Biological Studies, La Jolla, California, USA.","Journal Article","['Fatuel']","True","Xin","Rui","female",0.63,35,"male",0.86,149
894,"Nature neuroscience",2014,"LRRK2 regulates synaptogenesis and dopamine receptor activation through modulation of PKA activity.","Loukia","Parisiadou","Huaibin","Cai","1] Transgenics Section, Laboratory of Neurogenetics, National Institute on Aging, US National Institutes of Health, Bethesda, Maryland, USA. [2] Feinberg School of Medicine, Northwestern University, Chicago, Illinois, USA. [3].","Journal Article","['Jia', 'Carmelo', 'Chengsong', 'Guoxiang', 'Lixin', 'Xing-Long', 'Xian', 'Nicole A', 'David M']","True","Loukia","Huaibin","female",1,3,"male",1,1
895,"Nature neuroscience",2014,"Tau promotes neurodegeneration through global chromatin relaxation.","Bess","Frost","Mel B","Feany","Department of Pathology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts, USA.","Journal Article","['Martin', 'Jada']","True","Bess","Mel","female",0.94,34,"female",0.88,537
896,"Nature neuroscience",2014,"Rapid and reversible knockdown of endogenous proteins by peptide-directed lysosomal degradation.","Xuelai","Fan","Yu Tian","Wang","1] Brain Research Centre and Department of Medicine, Vancouver Coastal Health Research Institute, University of British Columbia, Vancouver, British Columbia, Canada. [2].","Journal Article","['Wu Yang', 'Jie', 'Jin']","True","Xuelai","Tian",NA,NA,NA,"male",0.67,24
897,"Nature neuroscience",2014,"Oxytocin mediates early experience-dependent cross-modal plasticity in the sensory cortices.","Jing-Jing","Zheng","Xiang","Yu","1] Institute of Neuroscience and State Key Laboratory of Neuroscience, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai, China. [2] University of Chinese Academy of Sciences, Shanghai, China. [3].","Journal Article","['Shu-Jing', 'Xiao-Di', 'Wan-Ying', 'Dinghong', 'Haishan']","True","Jing-Jing","Xiang",NA,NA,NA,"male",0.62,13
900,"Nature neuroscience",2014,"Resolving human object recognition in space and time.","Radoslaw Martin","Cichy","Aude","Oliva","Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA.","Comparative Study","['Dimitrios']","True","Radoslaw","Aude","male",1,4,"female",0.99,122
9131,"Nature neuroscience",2014,"Ground zero in Alzheimer's disease.","Michael A","Yassa","","","Department of Neurobiology and Behavior, University of California, Irvine, Irvine, California, USA.","Comment","[]","False","Michael","","male",1,11094,NA,NA,NA
9132,"Nature neuroscience",2014,"Stereotopy versus stochasticity in olfaction.","Rainer W","Friedrich","Thomas","Frank","1] Friedrich Miescher Institute for Biomedical Research, Basel, Switzerland. [2] University of Basel, Basel, Switzerland.","Comment","['Anastasios']","False","Rainer","Thomas","male",0.99,84,"male",1,3753
9133,"Nature neuroscience",2014,"Motor variability is not noise, but grist for the learning mill.","David J","Herzfeld","Reza","Shadmehr","Department of Biomedical Engineering, Laboratory for Computational Motor Control, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.","Comment","[]","False","David","Reza","male",1,12593,"male",1,202
9134,"Nature neuroscience",2014,"Stimulating memory consolidation.","Serra E","Favila","Brice A","Kuhl","Department of Psychology, New York University, New York, New York, USA.","Comment","[]","False","Serra","Brice","female",0.9,30,"male",1,108
9135,"Nature neuroscience",2014,"Deciphering CA2 connectivity.","Hannah","Bayer","","","","Comment","[]","False","Hannah","","female",1,1949,NA,NA,NA
9136,"Nature neuroscience",2014,"Regulating excitability of peripheral afferents: emerging ion channel targets.","Stephen G","Waxman","Gerald W","Zamponi","1] Center for Neuroscience & Regeneration Research, Yale University School of Medicine, New Haven, Connecticut, USA. [2] Veterans Affairs Medical Center, West Haven, Connecticut, USA.","Journal Article","[]","True","Stephen","Gerald","male",1,2608,"male",0.99,380
9137,"Nature neuroscience",2014,"Peripheral gating of pain signals by endogenous lipid mediators.","Daniele","Piomelli","Oscar","Sasso","1] Department of Anatomy and Neurobiology, University of California, Irvine, Irvine, California, USA. [2] Department of Pharmacology, University of California, Irvine, Irvine, California, USA. [3] Department of Biological Chemistry, University of California, Irvine, Irvine, California, USA. [4] Department of Drug Discovery and Development, Istituto Italiano di Tecnologia, Genoa, Italy.","Journal Article","[]","True","Daniele","Oscar","male",0.86,587,"male",0.99,1650
9138,"Nature neuroscience",2014,"Why we scratch an itch: the molecules, cells and circuits of itch.","Diana M","Bautista","Mark A","Hoon","1] Department of Molecular and Cell Biology, University of California Berkeley, Berkeley, California, USA. [2] Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, California, USA.","Journal Article","['Sarah R']","True","Diana","Mark","female",0.99,2885,"male",1,6176
9139,"Nature neuroscience",2014,"Pain vulnerability: a neurobiological perspective.","Franziska","Denk","Irene","Tracey","King's College London, Wolfson Centre for Age-Related Diseases, London, UK.","Journal Article","['Stephen B']","True","Franziska","Irene","female",1,126,"female",1,1300
9140,"Nature neuroscience",2014,"Normal and abnormal coding of somatosensory stimuli causing pain.","Steven A","Prescott","Yves","De Koninck","1] Neurosciences and Mental Health, The Hospital for Sick Children, Toronto, Ontario, Canada. [2] Department of Physiology, University of Toronto, Toronto, Ontario, Canada.","Journal Article","['Qiufu']","True","Steven","Yves","male",1,2600,"male",0.98,265
22450,"Nature neuroscience",2014,"NMDA spikes enhance action potential generation during sensory input.","Lucy M","Palmer","Matthew E","Larkum","1] Florey Institute, University of Melbourne, Melbourne, Victoria, Australia. [2] Physiologisches Institut, Universität Bern, Bern, Switzerland. [3] NeuroCure Cluster of Excellence, Humboldt University, Berlin, Germany.","Journal Article","['Adam S', 'James E', 'Harry L', 'Ole']","True","Lucy","Matthew","female",0.97,1403,"male",1,3338
22451,"Nature neuroscience",2014,"Bump attractor dynamics in prefrontal cortex explains behavioral precision in spatial working memory.","Klaus","Wimmer","Albert","Compte","Institut d'Investigacions Biomèdiques August Pi i Sunyer, Barcelona, Spain.","Journal Article","['Duane Q', 'Christos']","True","Klaus","Albert","male",0.98,177,"male",0.99,723
22452,"Nature neuroscience",2014,"Cortical activity in the null space: permitting preparation without movement.","Matthew T","Kaufman","Krishna V","Shenoy","1] Neurosciences Program, Stanford University, Stanford, California, USA. [2] Department of Electrical Engineering, Stanford University, Stanford, California, USA. [3] Cold Spring Harbor Laboratory, Cold Spring Harbor, New York, USA.","Journal Article","['Mark M', 'Stephen I']","True","Matthew","Krishna","male",1,3338,"male",0.71,194
22453,"Nature neuroscience",2014,"Deficient neuron-microglia signaling results in impaired functional brain connectivity and social behavior.","Yang","Zhan","Cornelius T","Gross","1] Mouse Biology Unit, European Molecular Biology Laboratory (EMBL), Monterotondo, Italy. [2].","Journal Article","['Rosa C', 'Francesco', 'Laetitia', 'Giulia', 'Francesca', 'Alexei L', 'Angelo', 'Alessandro', 'Davide']","True","Yang","Cornelius","male",0.65,93,"male",0.98,40
22456,"Nature neuroscience",2014,"Imagined gait modulates neuronal network dynamics in the human pedunculopontine nucleus.","Timothy L","Tattersall","Pankaj","Sah","Queensland Brain Institute, The University of Queensland, Brisbane, Queensland, Australia.","Journal Article","['Peter G', 'Terry J', 'Raymond', 'Paul', 'Peter A', 'François']","True","Timothy","Pankaj","male",1,809,"male",1,202
19636,"Nature neuroscience",2016,"Back to the past in schizophrenia genomics.","Andrew J","Sharp","Schahram","Akbarian","Department of Genetics and Genomic Sciences, Icahn School of Medicine at Mount Sinai, New York, New York, USA.","Journal Article","[]","False","Andrew","Schahram","male",1,5168,NA,NA,NA
19637,"Nature neuroscience",2016,"Surprise! Dopamine signals mix action, value and error.","Anne G E","Collins","Michael J","Frank","Department of Cognitive, Linguistic and Psychological Sciences and Brown Institute for Brain Sciences, Brown University, Providence, Rhode Island, USA.","Journal Article","[]","False","Anne","Michael","female",1,2461,"male",1,11094
19638,"Nature neuroscience",2016,"Parietal and prefrontal: categorical differences?","Daniel","Birman","Justin L","Gardner","Department of Psychology, Stanford University, Stanford, California, USA.","Comment","[]","False","Daniel","Justin","male",1,8180,"male",1,2871
19639,"Nature neuroscience",2016,"Linking cognition to brain connectivity.","Stephen","Smith","","","Oxford University Centre for Functional Magnetic Resonance Imaging of the Brain (FMRIB), Oxford, UK.","Comment","[]","False","Stephen","","male",1,2608,NA,NA,NA
19640,"Nature neuroscience",2016,"A peripheral messenger for chronic pain.","Sébastien","Thuault","","","","Comment","[]","False","Sébastien","","male",1,689,NA,NA,NA
19641,"Nature neuroscience",2016,"An epigenetic gateway to brain tumor cell identity.","Stephen C","Mack","Jeremy N","Rich","Department of Stem Cell Biology and Regenerative Medicine, Lerner Research Institute, Cleveland Clinic, Cleveland, Ohio, USA.","Journal Article","['Christopher G', 'Tyler E', 'Michael D']","True","Stephen","Jeremy","male",1,2608,"male",0.99,1840
19642,"Nature neuroscience",2016,"The role of microglia and macrophages in glioma maintenance and progression.","Dolores","Hambardzumyan","Helmut","Kettenmann","Department of Neurosciences, Lerner Research Institute, Cleveland Clinic, Cleveland, Ohio, USA.","Journal Article","['David H']","True","Dolores","Helmut","female",0.99,178,"male",1,51
19643,"Nature neuroscience",2016,"Corrigendum: Release probability of hippocampal glutamatergic terminals scales with the size of the active zone.","Noemi","Holderith","Zoltan","Nusser","","Published Erratum","['Andrea', 'Gergely', 'Balázs', 'Akos', 'Masahiko']","False","Noemi","Zoltan","female",1,114,"male",1,38
19644,"Nature neuroscience",2016,"Glia as drivers of abnormal neuronal activity.","Stefanie","Robel","Harald","Sontheimer","Virginia Tech Carilion Research Institute, Glial Biology in Health, Disease, and Cancer Center, Roanoke, Virginia, USA.","Journal Article","[]","True","Stefanie","Harald","female",1,463,"male",1,80
