"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
5103,"Brain : a journal of neurology",2014,"Familial risk of epilepsy: a population-based study.","Anna L","Peljto","Ruth","Ottman","1 Department of Epidemiology, School of Public Health, University of Colorado Denver, Aurora, Colorado 80045, USA.","Journal Article","['Christie', 'Vincent M', 'Cynthia L', 'W Allen', 'Jeffrey R']","True","Anna","Ruth","female",1,4755,"female",1,1344
11303,"Brain : a journal of neurology",2013,"A case of family periodic paralysis with a critical digest of the literature.","Alastair","Campston","","","","Historical Article","[]","False","Alastair","","male",1,90,NA,NA,NA
13073,"Brain : a journal of neurology",2014,"Clinical, genetic and imaging findings identify new causes for corpus callosum development syndromes.","Timothy J","Edwards","Linda J","Richards","1 Queensland Brain Institute, The University of Queensland, Brisbane, 4072, Australia2 Departments of Neurology and Pediatrics, The University of California and the Benioff Children's Hospital, CA, 94158, USA.","Journal Article","['Elliott H', 'A James']","True","Timothy","Linda","male",1,809,"female",1,4323
13075,"Brain : a journal of neurology",2014,"Spontaneous versus deliberate vicarious representations: different routes to empathy in psychopathy and autism.","Steven M","Gillespie","Lindsay M","Oberman","1 School of Psychology, University of Birmingham, Birmingham, B15 2TT, UK.","Comment","['Joseph P']","False","Steven","Lindsay","male",1,2600,"female",0.95,1081
13083,"Brain : a journal of neurology",2014,"Reduced glucocerebrosidase is associated with increased α-synuclein in sporadic Parkinson's disease.","Karen E","Murphy","Glenda M","Halliday","1 Neuroscience Research Australia, Sydney, NSW 2031, Australia.","Journal Article","['Amanda M', 'Sarah K', 'Nahid', 'Woojin S', 'Ellen', 'Antony', 'Brett']","True","Karen","Glenda","female",1,5462,"female",1,275
15976,"Brain : a journal of neurology",2014,"X-linked adrenoleukodystrophy in women: a cross-sectional cohort study.","Marc","Engelen","Stephan","Kemp","1 Department of Neurology, Academic Medical Centre, University of Amsterdam, Amsterdam, The Netherlands.","Journal Article","['Mathieu', 'Inge M E', 'Remmelt', 'Rob M A', 'Camiel', 'Marcel G W', 'Patrick A', 'Ronald J A', 'Bjorn M', 'Marianne', 'Bwee T']","True","Marc","Stephan","male",1,1555,"male",1,265
15977,"Brain : a journal of neurology",2014,"Cortical reorganization after macroreplantation at the upper extremity: a magnetoencephalographic study.","Kathrin R","Blume","Thomas","Weiss","1 Department of Biological and Clinical Psychology, Friedrich Schiller University, 07743 Jena, Germany.","Journal Article","['Caroline', 'Ralph', 'Theresa', 'Elisabeth', 'Reinhard', 'Gunther O', 'Wolfgang H R']","True","Kathrin","Thomas","female",1,104,"male",1,3753
15978,"Brain : a journal of neurology",2014,"The Gdap1 knockout mouse mechanistically links redox control to Charcot-Marie-Tooth disease.","Axel","Niemann","Ueli","Suter","1 Institute of Molecular Health Sciences, Cell Biology, Department of Biology, ETH Zurich, Swiss Federal Institute of Technology, Switzerland, ETH-Hönggerberg, 8093 Zürich, Switzerland.","Journal Article","['Nina', 'Konstanze M', 'Christian', 'Michael', 'Frédéric', 'Brigitte', 'Jorge A', 'Hartmut', 'Hans', 'M Laura', 'Lawrence', 'Peter', 'Carsten', 'Klaus V']","True","Axel","Ueli","male",0.98,283,"male",1,3
15979,"Brain : a journal of neurology",2014,"Visuoperceptive region atrophy independent of cognitive status in patients with Parkinson's disease with hallucinations.","Jennifer G","Goldman","Christopher G","Goetz","1 Rush University Medical Center, Department of Neurological Sciences, Chicago, IL, USA.","Comparative Study","['Glenn T', 'Vy', 'Bryan', 'Doug', 'Leyla']","True","Jennifer","Christopher","female",1,6717,"male",1,2339
8034,"Brain : a journal of neurology",2016,"Temporal plus epilepsy is a major determinant of temporal lobe surgery failures.","Carmen","Barba","Philippe","Ryvlin","1 Paediatric Neurology Unit, Children's Hospital A. Meyer-University of Florence, 50139, Florence, Italy carmen.barba@meyer.it.","Journal Article","['Sylvain', 'Lorella', 'Marc', 'Dominique', 'Stephan', 'Jean', 'Philippe']","True","Carmen","Philippe","female",1,1916,"male",0.99,605
