"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
20772,"Trends in neurosciences",2014,"What do grid cells contribute to place cell firing?","Daniel","Bush","Neil","Burgess","University College London (UCL) Institute of Cognitive Neuroscience, London, WC1N 3AR, UK; UCL Institute of Neurology, London, WC1N 3BG, UK. Electronic address: drdanielbush@gmail.com.","Journal Article","['Caswell']","True","Daniel","Neil","male",1,8180,"male",1,1036
21264,"Trends in neurosciences",2014,"Developmental roles of brain histamine.","Pertti","Panula","Kaj","Karlstedt","Neuroscience Center, University of Helsinki, Haartmaninkatu 8, 00290 Helsinki, Finland; Institute of Biomedicine, Anatomy, University of Helsinki, Haartmaninkatu 8, 00290 Helsinki, Finland. Electronic address: pertti.panula@helsinki.fi.","Journal Article","['Maria']","True","Pertti","Kaj","male",1,8,"male",1,30
26614,"Trends in neurosciences",2014,"Computational principles of microcircuits for visual object processing in the macaque temporal cortex.","Toshiyuki","Hirabayashi","Yasushi","Miyashita","Department of Physiology, The University of Tokyo School of Medicine, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan.","Journal Article","[]","True","Toshiyuki","Yasushi","male",1,9,"male",1,2
14324,"Trends in neurosciences",2016,"A Spinal Circuit for Mechanically-Evoked Itch.","Steve","Davidson","","","Pain Research Center, Department of Anesthesiology, University of Cincinnati College of Medicine, Cincinnati, OH 45267, USA. Electronic address: steve.davidson@uc.edu.","Comment","[]","True","Steve","","male",1,3965,NA,NA,NA
23281,"Trends in neurosciences",2016,"Warning! Dopaminergic Modulation of the Superior Colliculus.","Jaclyn","Essig","Gidon","Felsen","Department of Physiology and Biophysics, University of Colorado School of Medicine, Aurora, CO 80045, USA; Neuroscience Program, University of Colorado School of Medicine, Aurora, CO 80045, USA.","Comment","[]","True","Jaclyn","Gidon","female",1,212,"male",1,4
13043,"Trends in neurosciences",2011,"Cell autonomy and synchrony of suprachiasmatic nucleus circadian oscillators.","Jennifer A","Mohawk","Joseph S","Takahashi","Department of Neuroscience and Howard Hughes Medical Institute, University of Texas Southwestern Medical Center, Dallas, TX 75390-9111, USA.","Journal Article","[]","True","Jennifer","Joseph","female",1,6717,"male",0.99,2213
20131,"Trends in neurosciences",2017,"Predicting Age Using Neuroimaging: Innovative Brain Ageing Biomarkers.","James H","Cole","Katja","Franke","Computational, Cognitive & Clinical Neuroimaging Laboratory, Division of Brain Sciences, Department of Medicine, Imperial College London, London, UK. Electronic address: james.cole@imperial.ac.uk.","Journal Article","[]","True","James","Katja","male",0.99,6359,"female",1,257
25347,"Trends in neurosciences",2017,"Efficient Prevention of Neurodegenerative Diseases by Depletion of Starvation Response Factor Ataxin-2.","Georg","Auburger","Aaron D","Gitler","Department of Neurology, Goethe University Medical School, 60590 Frankfurt am Main, Germany. Electronic address: auburger@em.uni-frankfurt.de.","Journal Article","['Nesli-Ece', 'David', 'Ayşe-Nazlı']","True","Georg","Aaron","male",1,64,"male",1,2280
25348,"Trends in neurosciences",2017,"Revolution of Resting-State Functional Neuroimaging Genetics in Alzheimer's Disease.","Patrizia A","Chiesa","","","AXA Research Fund & UPMC Chair, Paris, France; Sorbonne Universities, Pierre and Marie Curie University, Paris 06, Institute of Memory and Alzheimer's Disease (IM2A) & Brain and Spine Institute (ICM) UMR S 1127, Department of Neurology, Pitié-Salpêtrière Hospital, Paris, France. Electronic address: po.chiesa@gmail.com.","Journal Article","['Enrica', 'Simone', 'Paul M', 'Harald']","True","Patrizia","","female",1,233,NA,NA,NA
25349,"Trends in neurosciences",2017,"Developmental Connectomics from Infancy through Early Childhood.","Miao","Cao","Yong","He","National Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing 100875, China; Beijing Key Laboratory of Brain Imaging and Connectomics, Beijing Normal University, Beijing 100875, China; IDG/McGovern Institute for Brain Research, Beijing Normal University, Beijing 100875, China.","Journal Article","['Hao']","True","Miao","Yong","female",0.75,16,"male",0.59,66
10100,"Trends in neurosciences",2015,"Filtering the muddied waters of brain edema.","Alexander S","Thrane","Maiken","Nedergaard","Division of Glial Disease and Therapeutics, Center for Translational Neuromedicine, Department of Neurosurgery, University of Rochester Medical Center, Rochester, NY 14642, USA; Department of Ophthalmology, Haukeland University Hospital, Bergen 5021, Norway; Letten Centre, Institute of Basic Medical Sciences, Department of Physiology, University of Oslo, 0317 Oslo, Norway.","Letter","['Vinita', 'Benjamin A']","False","Alexander","Maiken","male",1,1645,"female",1,13
