"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
209,"Current opinion in neurobiology",2014,"Multiplexing signals in reinforcement learning with internal models and dopamine.","Hiroyuki","Nakahara","","","Laboratory for Integrated Theoretical Neuroscience, RIKEN Brain Science Institute, 2-1 Hirosawa, Wako, Saitama 351-0198, Japan. Electronic address: hn@brain.riken.jp.","Journal Article","[]","True","Hiroyuki","","male",1,29,NA,NA,NA
210,"Current opinion in neurobiology",2014,"Bayesian statistics: relevant for the brain?","Konrad Paul","Kording","","","Rm 1483, 345 E Superior St, Chicago, IL 60611, United States. Electronic address: koerding@gmail.com.","Journal Article","[]","True","Konrad","","male",1,62,NA,NA,NA
4796,"Current opinion in neurobiology",2014,"To spike, or when to spike?","Robert","Gütig","","","Max Planck Institute of Experimental Medicine, Hermann-Rein-Str. 3, 37075 Göttingen, Germany. Electronic address: guetig@em.mpg.de.","Journal Article","[]","True","Robert","","male",1,5222,NA,NA,NA
21654,"Current opinion in neurobiology",2014,"GABAergic cell type diversity in the basolateral amygdala.","Marco","Capogna","","","MRC Anatomical Neuropharmacology Unit, Department of Pharmacology, University of Oxford, Mansfield Road, Oxford OX1 3TH, UK. Electronic address: marco.capogna@pharm.ox.ac.uk.","Journal Article","[]","True","Marco","","male",0.99,2493,NA,NA,NA
22550,"Current opinion in neurobiology",2014,"Emerging principles of population coding: in search for the neural code.","Maoz","Shamir","","","Department of Physiology and Cell Biology, Faculty of Health Sciences, Ben-Gurion University of the Negev, Be'er-Sheva, Israel; Department of Physics, Faculty of Natural Sciences, Ben-Gurion University of the Negev, Be'er-Sheva, Israel. Electronic address: shmaoz@bgu.ac.il.","Journal Article","[]","True","Maoz","",NA,NA,NA,NA,NA,NA
26845,"Current opinion in neurobiology",2014,"Single neuron dynamics and computation.","Nicolas","Brunel","Magnus J E","Richardson","Departments of Statistics and Neurobiology, University of Chicago, Chicago, USA. Electronic address: nbrunel@uchicago.edu.","Journal Article","['Vincent']","True","Nicolas","Magnus","male",1,1953,"male",1,302
26846,"Current opinion in neurobiology",2014,"Building maps from maps in primary visual cortex.","Ian","Nauhaus","Kristina J","Nielsen","Salk Institute for Biological Studies, Systems Neurobiology Laboratories, United States. Electronic address: inauhaus@gmail.com.","Journal Article","[]","True","Ian","Kristina","male",0.99,2159,"female",1,912
26848,"Current opinion in neurobiology",2014,"Molecular guidance of retinotopic map development in the midbrain.","Jason W","Triplett","","","Center for Neuroscience Research, Children's National Medical Center, 111 Michigan Avenue, NW, Washington, DC 20010, United States. Electronic address: jtriplett@childrensnational.org.","Journal Article","[]","True","Jason","","male",1,4927,NA,NA,NA
26849,"Current opinion in neurobiology",2014,"Neural maps in the electrosensory system of weakly electric fish.","Rüdiger","Krahe","Leonard","Maler","Department of Biology, McGill University, 1205 Ave. Docteur Penfield, Montreal, Quebec H3A 1B1, Canada. Electronic address: rudiger.krahe@mcgill.ca.","Journal Article","[]","True","Rüdiger","Leonard","male",1,16,"male",1,201
26850,"Current opinion in neurobiology",2014,"From cortical modules to memories.","David C","Rowland","May-Britt","Moser","Kavli Institute and the Centre for Neural Computation, Norwegian University of Science and Technology, Trondheim, Norway.","Journal Article","[]","True","David","May-Britt","male",1,12593,"female",1,1
26851,"Current opinion in neurobiology",2014,"A mouse model of higher visual cortical function.","Lindsey L","Glickfeld","Mark L","Andermann","Department of Neurobiology, Duke University School of Medicine, Durham, NC 27710, United States.","Journal Article","['R Clay']","True","Lindsey","Mark","female",0.98,849,"male",1,6176
26852,"Current opinion in neurobiology",2014,"Mapping odor valence in the brain of flies and mice.","Markus","Knaden","Bill S","Hansson","Max Planck Institute for Chemical Ecology, Hans Knoell Strasse 8, 07745 Jena, Germany.","Journal Article","[]","True","Markus","Bill","male",1,412,"male",1,1812
26853,"Current opinion in neurobiology",2014,"Multisensory maps in parietal cortex.","Martin I","Sereno","Ruey-Song","Huang","Cognitive Perceptual and Brain Sciences, University College London, London, UK; Department of Psychological Sciences, Birkbeck/UCL Centre for NeuroImaging (BUCNI), Birkbeck College, University of London, London, UK. Electronic address: m.sereno@ucl.ac.uk.","Journal Article","[]","True","Martin","Ruey-Song","male",1,3568,NA,NA,NA
26854,"Current opinion in neurobiology",2014,"Cellular, columnar and modular organization of spatial representations in medial entorhinal cortex.","Andrea","Burgalossi","Michael","Brecht","Bernstein Center for Computational Neuroscience Berlin, Humboldt University, 10115 Berlin, Philippstr. 13 Haus 6, Germany.","Journal Article","[]","True","Andrea","Michael","female",0.79,5794,"male",1,11094
26855,"Current opinion in neurobiology",2014,"Speech map in the human ventral sensory-motor cortex.","David","Conant","Edward F","Chang","Department of Neurological Surgery, University of California, San Francisco, United States; Department Physiology, University of California, San Francisco, United States.","Journal Article","['Kristofer E']","True","David","Edward","male",1,12593,"male",1,1015
26856,"Current opinion in neurobiology",2014,"New perspectives on the owl's map of auditory space.","Jose L","Pena","Yoram","Gutfreund","Dominick P. Purpura Department of Neuroscience, Albert Einstein College of Medicine, Bronx, NY 10461, United States.","Journal Article","[]","True","Jose","Yoram","male",0.99,3821,"male",1,14
