"X","journal","year","title","fname_first","lname_first","fname_last","lname_last","affiliation","article_type","middle_authors","abstract","fname_first_trunc","fname_last_trunc","gender_first","p_first","n_first","gender_last","p_last","n_last"
1768,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Neuroimaging Evidence of Motor Control and Pain Processing in the Human Midcingulate Cortex.","Gaurav","Misra","Stephen A","Coombes","Department of Applied Physiology and Kinesiology, Laboratory for Rehabilitation Neuroscience, University of Florida, Gainesville, FL 32611, USA.","Journal Article","[]","True","Gaurav","Stephen","male",1,241,"male",1,2608
1769,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Locus Coeruleus Stimulation Facilitates Long-Term Depression in the Dentate Gyrus That Requires Activation of β-Adrenergic Receptors.","Niels","Hansen","Denise","Manahan-Vaughan","Department of Neurophysiology, Medical Faculty, Ruhr University Bochum, 44780 Bochum, Germany.","Journal Article","[]","True","Niels","Denise","male",0.95,210,"female",1,1844
1770,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Mixing of Chromatic and Luminance Retinal Signals in Primate Area V1.","Xiaobing","Li","Jose Manuel","Alonso","Department of Biological Sciences, SUNY Optometry, New York, NY 10036, USA.","Journal Article","['Yao', 'Reza', 'Yulia', 'Harvey A', 'Barry B']","True","Xiaobing","Manuel","male",1,1,"male",1,1954
1772,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Convergent BOLD and Beta-Band Activity in Superior Temporal Sulcus and Frontolimbic Circuitry Underpins Human Emotion Cognition.","Mbemba","Jabbi","Karen F","Berman","Section on Integrative Neuroimaging Clinical Brain Disorders Branch.","Journal Article","['Philip D', 'Tiffany', 'Angela', 'Christopher', 'Tom', 'Frederick W', 'Qiang', 'Brett', 'J Shane', 'Stephen E', 'Richard']","True","Mbemba","Karen",NA,NA,NA,"female",1,5462
24070,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Brain Growth Gains and Losses in Extremely Preterm Infants at Term.","Nelly","Padilla","Ulrika","Ådén","Department of Women's and Children's Health Department of Maternal-Fetal Medicine and Neonatology (ICGON), Hospital Clínic, Institut D'investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Barcelona, Spain.","Journal Article","['Georgios', 'Mats', 'Hugo']","True","Nelly","Ulrika","female",0.99,345,"female",1,92
24071,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Resistant Against De-depression: LTD-Like Plasticity in the Human Motor Cortex Induced by Spaced cTBS.","Mitchell R","Goldsworthy","Ulf","Ziemann","Robinson Institute, School of Paediatrics and Reproductive Health, University of Adelaide, Adelaide 5005, Australia.","Journal Article","['Florian', 'Michael C']","True","Mitchell","Ulf","male",0.99,345,"male",1,71
24072,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Alpha Oscillatory Dynamics Index Temporal Expectation Benefits in Working Memory.","Anna","Wilsch","Jonas","Obleser","Max Planck Research Group ""Auditory Cognition""","Journal Article","['Molly J', 'Björn', 'Burkhard']","True","Anna","Jonas","female",1,4755,"male",1,628
24083,"Cerebral cortex (New York, N.Y. : 1991)",2015,"Representations of Invariant Musical Categories Are Decodable by Pattern Analysis of Locally Distributed BOLD Responses in Superior Temporal and Intraparietal Sulci.","Mike E","Klein","Robert J","Zatorre","Cognitive Neuroscience Unit, Montréal Neurological Institute, McGill University, Montréal, Québec, Canada H3A 2B4 International Laboratory for Brain, Music and Sound Research, Montréal, Québec, Canada H3C 3J7.","Journal Article","[]","True","Mike","Robert","male",1,5595,"male",1,5222
2684,"Cerebral cortex (New York, N.Y. : 1991)",2016,"Subgenual Cingulum Microstructure Supports Control of Emotional Conflict.","Paul A","Keedwell","Derek K","Jones","MRC Centre for Psychiatric Genetics and Genomics Neuroscience and Mental Health Research Institute Centre for Affective Disorders, Institute of Psychiatry, London SE5 8AF, UK.","Journal Article","['Amie N', 'Marcel', 'Natalia', 'Andrew D']","True","Paul","Derek","male",1,5931,"male",1,1169
26551,"Cerebral cortex (New York, N.Y. : 1991)",2017,"Cofilin Activation Is Temporally Associated with the Cessation of Growth in the Developing Hippocampus.","Julie C","Lauterborn","Gary","Lynch","Department of Anatomy and Neurobiology.","Journal Article","['Enikö A', 'Jeffrey D', 'Alex H', 'Conor D', 'Carley A', 'Christine M']","True","Julie","Gary","female",1,4260,"male",1,2132
